time,speed,lateralAcceleration,elapsedDistance,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz
0.59,48.09652833,3.96252737,9.5,-19.55005832,1,3.2,2011.113361,120,33.89084117,413.6561656,161.1119651,0,0,92.30192737,45.0453725,1,119.5768704,1.3,1.8,-19.97956741,3.260171953,16.21215379,-8.699869543,4.350976088,0,2964.256166
0.6,46.74136489,5.658331019,9.75,-13.8969985,1,3.2,1954.448412,120,32.93593588,390.6742822,152.1609166,0,0,65.0242215,29.79267012,1,86.71931348,1.3,1.8,-19.74896345,4.605614088,7.163279894,-8.89768989,4.498327441,0,2941.274282
0.61,46.74136489,5.658331019,9.75,-13.8969985,1,3.2,1954.448412,120,32.93593588,390.6742822,152.1609166,0,0,65.0242215,29.79267012,1,86.71931348,1.3,1.8,-19.74896345,4.605614088,7.163279894,-8.89768989,4.498327441,0,2941.274282
0.62,45.75734193,11.11099959,10,-11.77299855,1,3.2,1913.302371,120,32.24255183,374.3980852,145.8216177,0,0,54.89958794,14.53996774,1,53.75938217,1.3,1.8,-18.85511944,7.035908965,12.69896412,-9.098911801,4.646957061,0,2924.998085
0.63,45.75734193,11.11099959,10,-11.77299855,1,3.2,1913.302371,120,32.24255183,374.3980852,145.8216177,0,0,54.89958794,14.53996774,1,53.75938217,1.3,1.8,-18.85511944,7.035908965,12.69896412,-9.098911801,4.646957061,0,2924.998085
0.64,44.90794853,12.16638317,10.25,-10.62170044,1,3.2,1877.785745,120,31.64403343,360.627196,140.4580931,0,0,49.49420536,12.79027672,1,49.81744699,1.3,1.8,-17.80240651,8.433586798,7.176425328,-9.302683782,4.792612508,0,2911.227196
0.65,44.90794853,12.16638317,10.25,-10.62170044,1,3.2,1877.785745,120,31.64403343,360.627196,140.4580931,0,0,49.49420536,12.79027672,1,49.81744699,1.3,1.8,-17.80240651,8.433586798,7.176425328,-9.302683782,4.792612508,0,2911.227196
0.66,44.12807518,12.59425933,10.5,-8.884541494,1,3.2,1845.176038,120,31.0945018,348.2106193,135.6220499,0,0,41.06550428,11.93032667,1,47.83459887,1.3,1.8,-16.67575756,9.427317653,5.025770531,-9.509173985,4.934552267,0,2898.810619
0.67,44.12807518,12.59425933,10.5,-8.884541494,1,3.2,1845.176038,120,31.0945018,348.2106193,135.6220499,0,0,41.06550428,11.93032667,1,47.83459887,1.3,1.8,-16.67575756,9.427317653,5.025770531,-9.509173985,4.934552267,0,2898.810619
0.68,43.46580949,13.16825253,10.75,-5.30202618,1,3.2,1817.48399,120,30.62784148,337.8372919,131.5818172,0,0,23.24782164,11.07037663,1,45.8142598,1.3,1.8,-15.46424786,9.931424262,2.526110841,-9.718485473,5.072450805,0,2888.437292
