time,speed,engineSpeed,power
3.43,80.10969617,3349.715372,56.4486686
3.44,80.10969617,3349.715372,56.4486686
3.45,80.28165504,3356.905679,56.56983807
3.46,80.45293594,3364.067636,56.69052981
3.47,80.62354375,3371.201449,56.81074726
3.48,80.79348331,3378.30732,56.93049384
3.49,80.9627594,3385.385449,57.04977291
3.5,81.13137675,3392.436033,57.1685878
3.51,81.29934001,3399.459266,57.28694179
3.52,81.46665379,3406.455343,57.40483814
3.53,81.63332265,3413.424452,57.52228004
3.54,81.63332265,3413.424452,57.52228004
3.55,81.79935109,3420.366783,57.63927067
3.56,81.96474354,3427.282521,57.75581317
3.57,82.12950442,3434.171849,57.87191063
3.58,82.29363805,3441.034951,57.98756611
3.59,82.45714875,3447.872004,58.10278263
3.6,82.62004074,3454.683187,58.21756319
3.61,82.78231822,3461.468675,58.33191075
3.62,82.94398536,3468.228642,58.44582823
3.63,83.10504623,3474.963259,58.55931851
3.64,83.26550491,3481.672695,58.67238446
3.65,83.4253654,3488.357119,58.7850289
3.66,83.4253654,3488.357119,58.7850289
3.67,83.58463167,3495.016695,58.89725462
3.68,83.74330763,3501.651589,59.00906439
3.69,83.90139717,3508.261962,59.12046094
3.7,84.05890411,3514.847974,59.23144698
3.71,84.21583226,3521.409784,59.34202517
3.72,84.37218537,3527.94755,59.45219815
3.73,84.52796714,3534.461425,59.56196856
3.74,84.68318125,3540.951564,59.67133896
3.75,84.83783132,3547.418119,59.78031192
3.76,84.99192096,3553.86124,59.88888998
3.77,85.14545372,3560.281075,59.99707563
3.78,85.29843311,3566.677772,60.10487136
3.79,85.45086262,3573.051475,60.21227961
3.8,85.60274569,3579.40233,60.31930282
3.81,85.75408572,3585.730478,60.42594339
3.82,85.75408572,3585.730478,60.42594339
3.83,85.90488609,3592.036061,60.53220369
3.84,86.05515014,3598.319218,60.63808607
3.85,86.20488117,3604.580087,60.74359286
3.86,86.35408244,3610.818805,60.84872637
3.87,86.50275721,3617.035508,60.95348888
3.88,86.65090866,3623.230328,61.05788264
3.89,86.79853997,3629.403399,61.16190988
3.9,86.94565428,3635.554853,61.26557282
3.91,87.0922547,3641.684818,61.36887366
3.92,87.23834429,3647.793424,61.47181455
3.93,87.38392612,3653.880798,61.57439764
3.94,87.52900319,3659.947067,61.67662506
3.95,87.6735785,3665.992354,61.77849891
3.96,87.81765499,3672.016783,61.88002128
3.97,87.96123559,3678.020478,61.98119422
3.98,88.10432321,3684.003559,62.08201979
3.99,88.24692072,3689.966146,62.18250001
4,88.38903096,3695.908359,62.28263687
4.01,88.53065674,3701.830315,62.38243237
4.02,88.67180086,3707.73213,62.48188847
4.03,88.81246609,3713.613921,62.58100711
4.04,88.95265515,3719.475801,62.67979023
4.05,88.42905923,3697.582106,62.31084248
4.06,87.34256922,3652.151496,61.54525582
4.07,86.25337891,3606.607977,60.77776642
4.08,85.16131949,3560.944488,60.00825532
4.09,84.06571465,3515.13275,59.23624597
4.1,84.06571465,3515.13275,59.23624597
4.11,82.96630779,3469.162035,58.46155756
4.12,81.8628407,3423.021544,57.68400813
4.13,80.75504125,3376.6999,56.90340595
4.14,79.64262225,3330.185094,56.11954863
4.15,78.52528021,3283.464434,55.33222233
4.16,77.39973021,3236.400567,54.53911235
4.17,76.26868318,3189.106846,53.74212894
4.18,76.26868318,3189.106846,53.74212894
4.19,75.13177526,3141.568057,52.9410157
4.2,73.98861958,3093.768023,52.13550003
4.21,72.83880411,3045.689517,51.32529158
4.22,71.68188921,2997.314154,50.51008058
4.23,71.68188921,2997.314154,50.51008058
4.24,70.52377833,2948.888782,49.69402684
4.25,69.36105698,2900.270628,48.87472437
4.26,68.19740422,2851.613527,48.05476558
4.27,68.19740422,2851.613527,48.05476558
4.28,67.04830657,2803.565035,47.24506294
4.29,66.07058119,2762.682322,46.55611642
4.3,66.07058119,2762.682322,46.55611642
4.31,64.94104853,2715.451923,45.76020011
4.32,63.82255656,2668.683181,44.97206351
4.33,62.72686102,2622.867651,44.19999025
4.34,62.72686102,2622.867651,44.19999025
4.35,61.67839397,2579.026938,43.46119618
4.36,60.73854254,2539.72789,42.79893724
4.37,60.73854254,2539.72789,42.79893724
4.38,59.8594469,2502.969291,42.1794894
4.39,59.8594469,2502.969291,42.1794894
4.4,59.0150438,2467.66133,41.58448738
4.41,58.2188445,2434.368968,41.0234518
4.42,58.2188445,2434.368968,41.0234518
4.43,57.49250934,2403.997912,40.51164543
4.44,56.8756837,2378.205899,40.07700408
4.45,56.8756837,2378.205899,40.07700408
4.46,56.28749329,2353.611242,39.66254033
4.47,56.28749329,2353.611242,39.66254033
4.48,55.73664102,2330.577847,39.2743866
4.49,55.2361739,2309.651261,38.92173637
4.5,55.2361739,2309.651261,38.92173637
4.51,54.8088927,2291.78488,38.62065603
4.52,54.51103478,2279.330217,38.41077278
4.53,54.51103478,2279.330217,38.41077278
4.54,54.2065244,2266.597387,38.19620193
